App;MedianDuration_ms
260f92380d3593ad674a83c99de3cd37d0478ed2bc1e6d08b7e2bed55a4080eb;886277.0
ee2f53f89a35c322a948262c5b545eb46df8ca96d47754b900765d1a46d9a285;650456.0
e9ff3d74fbb5d65360c2e37216460990c39cd06bc4a409d2ab6f5c0e588c026a;602960.0
a743369b86ec4014d8b3b8ca6a9aaec83ad9a0bca7453361d3d7c3b03a1bcba9;600876.0
3eeccdd2490f904382b1fd2d895abb21a4838a737974cbeedbdaad88cfd361e7;600536.5
614092789f75eea75e7be5e326323d0f846607ff95275c887c97525b4bbff464;600494.5
1feebd0a959ae39e029c17ad930d8d34f86ae12a9dde2df68147c6f5743e5700;600323.5
61d270c9540d322d492672277900e22e3c3efe20d81a7e1af180361e66e4fcba;600277.0
c8bbedeabca3936eb2aa904aa20d8180a34b1ea6497992ca43da7f9d959d180a;600180.0
af4917eff7b20cdc7a1cc62d218ef48eb02a65eeef20def168afcec6aa5611c7;600154.0
