App;Pct99Memory_MB
b02b88a988c6f7a921f0bbb932ebe4a5c653e1887d54ce8d68a73fd32c02b2cb;1524.0
dea97cb53d119383e1d392219c3f1820e6a8e43b5879857bc68e116a323170ff;1522.0
55bb2701596bf92e70afab539a070a1ee0c999400c4bbe980644041c6a46c573;1521.5
8ab2dbeae017990aa4ee3efabd19587574bcafd41f53d50685295a6fe6649a7e;1518.0
60393a5c156c1905114e7104d51cff90fbf6ca7068c96492a18ff1dd13e5becc;1513.0
a3956197878f68d232df08c58ced484cce93742131dad622cad77f8ca69186fd;1509.0
4eab68a9d37bfbad24fea6c5f1ae6fce8c846618c032601ee4d01d0e4dfbe7ab;1507.5
ba39f2cf629cb7d096315bc681ff3a350a4283382483997121fa0b5c43de4ac4;1505.5
ab843a8367234a989284a7e9a81dda1d277611b39609061b02a388b24cab77e9;1497.0
401f33d3ffcf83f94cfc1b4ea43e66912e0c61b7fe8317925b1cfb7f98a663c4;1495.0
